Location,Station
bou-20V,CO - KREMMLING
pub-PUB,CO - PUEBLO
gjt-MTJ,CO - MONTROSE
bou-GXY,CO - GREELEY
pub-TAD,CO - TRINIDAD
pub-LXV,CO - LEADVILLE
bou-DEN,CO - DENVER
gjt-ASE,CO - ASPEN
pub-SPD,CO - SPRINGFIELD
gjt-CEZ,CO - CORTEZ
bou-MNH,CO - ELBERT 6W
bou-FNL,CO - FT COLLINS/LOVELAND
gjt-RIL,CO - RIFLE
bou-33V,CO - WALDEN
pub-COS,CO - COLORADO SPRINGS
bou-APA,CO - CENTENNIAL
gjt-EEO,CO - MEEKER
gjt-GJT,CO - GRAND JUNCTION
pub-LHX,CO - LA JUNTA
bou-CCU,CO - COPPER MTN/RED CLIFF
gjt-CAG,CO - CRAIG
bou-LIC,CO - LIMON
bou-BDU,CO - BOULDER AIRPORT
pub-ALS,CO - ALAMOSA
gjt-DRO,CO - DURANGO AIRPORT
pub-LAA,CO - LAMAR
bou-AKO,CO - AKRON
gld-ITR,CO - BURLINGTON
